datetime	open	high	low	close	volume
03.12.2020 00:00	17600.0	21300.0	17600.0	21300.0	52
14.12.2020 00:00	21516.0	22602.0	19071.0	19071.0	14
15.12.2020 00:00	20746.0	20746.0	20746.0	20746.0	1
17.12.2020 00:00	21850.0	21852.0	21748.0	21748.0	4
18.12.2020 00:00	21615.0	21687.0	21615.0	21687.0	2
24.12.2020 00:00	20874.0	21108.0	20798.0	20798.0	8
08.01.2021 00:00	22840.0	22840.0	22125.0	22125.0	2
12.01.2021 00:00	23877.0	23877.0	23877.0	23877.0	1
14.01.2021 00:00	23567.0	23567.0	23567.0	23567.0	1
15.01.2021 00:00	23567.0	23567.0	23567.0	23567.0	3
19.01.2021 00:00	22337.0	22337.0	22337.0	22337.0	1
29.01.2021 00:00	22100.0	22100.0	21990.0	21990.0	7
01.02.2021 00:00	22175.0	22175.0	22175.0	22175.0	1
02.02.2021 00:00	22010.0	22457.0	22010.0	22418.0	5
03.02.2021 00:00	22319.0	22319.0	22319.0	22319.0	2
04.02.2021 00:00	22300.0	22500.0	22300.0	22500.0	104
05.02.2021 00:00	22770.0	22770.0	22770.0	22770.0	3
08.02.2021 00:00	22800.0	22800.0	22800.0	22800.0	3
09.02.2021 00:00	23508.0	24519.0	23010.0	23066.0	5
10.02.2021 00:00	23066.0	23066.0	22821.0	22900.0	13
11.02.2021 00:00	22753.0	22795.0	22726.0	22726.0	7
12.02.2021 00:00	22240.0	23136.0	22240.0	23136.0	31
15.02.2021 00:00	23350.0	23350.0	23250.0	23250.0	20
16.02.2021 00:00	23500.0	24059.0	23350.0	23350.0	14
17.02.2021 00:00	24053.0	24053.0	23100.0	23617.0	6
18.02.2021 00:00	23696.0	23696.0	22771.0	22771.0	10
19.02.2021 00:00	22582.0	23038.0	22521.0	22907.0	6
22.02.2021 00:00	22856.0	22856.0	22856.0	22856.0	20
24.02.2021 00:00	22850.0	22850.0	22750.0	22750.0	59
26.02.2021 00:00	22750.0	22750.0	22351.0	22351.0	22
02.03.2021 00:00	22440.0	22440.0	22440.0	22440.0	1
04.03.2021 00:00	22650.0	22874.0	22500.0	22874.0	23
05.03.2021 00:00	22759.0	23249.0	22759.0	22950.0	6
