datetime	open	high	low	close	volume
24.12.2021 07:00	79447.0	79574.0	79447.0	79574.0	8
24.12.2021 09:00	79461.0	79461.0	79375.0	79375.0	11
24.12.2021 10:00	79352.0	79352.0	79230.0	79259.0	46
24.12.2021 12:00	79436.0	79559.0	79385.0	79559.0	47
24.12.2021 16:00	79600.0	79682.0	79600.0	79660.0	21
24.12.2021 17:00	79682.0	79770.0	79550.0	79721.0	153
24.12.2021 18:00	79701.0	79768.0	79701.0	79768.0	3
24.12.2021 19:00	79710.0	79720.0	79701.0	79710.0	8
24.12.2021 20:00	79771.0	79771.0	79707.0	79707.0	7
24.12.2021 23:00	79732.0	79860.0	79732.0	79850.0	8
27.12.2021 07:00	79807.0	79807.0	79610.0	79610.0	3
27.12.2021 09:00	79610.0	79610.0	79500.0	79500.0	86
27.12.2021 10:00	79451.0	79459.0	79400.0	79405.0	24
27.12.2021 11:00	79336.0	79395.0	79171.0	79305.0	57
27.12.2021 12:00	79440.0	79544.0	79393.0	79544.0	7
27.12.2021 13:00	79550.0	79615.0	79505.0	79540.0	34
27.12.2021 15:00	79535.0	79600.0	79535.0	79560.0	48
27.12.2021 17:00	79613.0	79665.0	79610.0	79645.0	16
27.12.2021 18:00	79660.0	79670.0	79551.0	79551.0	14
27.12.2021 20:00	79540.0	79585.0	79540.0	79585.0	2
27.12.2021 21:00	79550.0	79625.0	79550.0	79625.0	3
27.12.2021 23:00	79563.0	79563.0	79553.0	79553.0	3
28.12.2021 07:00	79541.0	79549.0	79540.0	79549.0	5
28.12.2021 11:00	79535.0	79619.0	79535.0	79619.0	19
28.12.2021 12:00	79650.0	79650.0	79620.0	79620.0	11
28.12.2021 14:00	79626.0	79626.0	79585.0	79585.0	23
28.12.2021 16:00	79699.0	79725.0	79699.0	79725.0	4
28.12.2021 17:00	79726.0	79948.0	79720.0	79924.0	129
28.12.2021 18:00	79860.0	79885.0	79811.0	79880.0	7
28.12.2021 20:00	79790.0	79790.0	79789.0	79789.0	3
28.12.2021 21:00	79820.0	79820.0	79760.0	79790.0	9
