datetime	open	high	low	close	volume
27.01.2023 09:56	39550.0	39550.0	39532.0	39532.0	2
27.01.2023 10:00	39532.0	39533.0	39502.0	39514.0	77
27.01.2023 10:01	39503.0	39503.0	39471.0	39471.0	18
27.01.2023 10:02	39483.0	39484.0	39483.0	39484.0	8
27.01.2023 10:03	39472.0	39472.0	39465.0	39465.0	13
27.01.2023 10:04	39468.0	39469.0	39468.0	39468.0	10
27.01.2023 10:05	39469.0	39469.0	39447.0	39447.0	18
27.01.2023 10:06	39447.0	39447.0	39405.0	39405.0	13
27.01.2023 10:07	39410.0	39420.0	39410.0	39410.0	14
27.01.2023 10:10	39439.0	39439.0	39437.0	39437.0	2
27.01.2023 10:11	39442.0	39444.0	39442.0	39444.0	2
27.01.2023 10:12	39444.0	39460.0	39444.0	39460.0	10
27.01.2023 10:13	39444.0	39445.0	39444.0	39444.0	13
27.01.2023 10:14	39444.0	39446.0	39444.0	39446.0	27
27.01.2023 10:15	39446.0	39446.0	39436.0	39436.0	7
27.01.2023 10:17	39426.0	39430.0	39426.0	39430.0	3
27.01.2023 10:18	39427.0	39444.0	39427.0	39444.0	4
27.01.2023 10:20	39439.0	39439.0	39428.0	39430.0	11
27.01.2023 10:22	39430.0	39433.0	39430.0	39433.0	32
27.01.2023 10:24	39433.0	39434.0	39433.0	39434.0	3
27.01.2023 10:27	39434.0	39434.0	39428.0	39428.0	8
27.01.2023 10:30	39425.0	39425.0	39416.0	39416.0	4
27.01.2023 10:32	39415.0	39415.0	39414.0	39414.0	4
27.01.2023 10:35	39415.0	39417.0	39415.0	39417.0	8
27.01.2023 10:36	39418.0	39437.0	39418.0	39437.0	6
27.01.2023 10:37	39436.0	39437.0	39436.0	39437.0	9
27.01.2023 10:38	39437.0	39439.0	39437.0	39439.0	5
27.01.2023 10:39	39439.0	39446.0	39439.0	39440.0	34
27.01.2023 10:40	39441.0	39460.0	39441.0	39459.0	42
27.01.2023 10:41	39460.0	39476.0	39459.0	39459.0	85
27.01.2023 10:42	39462.0	39462.0	39445.0	39445.0	19
27.01.2023 10:43	39449.0	39456.0	39445.0	39456.0	9
27.01.2023 10:44	39452.0	39471.0	39452.0	39471.0	5
27.01.2023 10:46	39475.0	39481.0	39475.0	39481.0	11
27.01.2023 10:48	39468.0	39468.0	39459.0	39459.0	4
27.01.2023 10:51	39466.0	39467.0	39466.0	39467.0	5
27.01.2023 10:58	39449.0	39449.0	39437.0	39437.0	4
27.01.2023 11:06	39437.0	39437.0	39359.0	39367.0	154
27.01.2023 11:07	39359.0	39370.0	39359.0	39360.0	9
27.01.2023 11:08	39357.0	39357.0	39299.0	39333.0	57
27.01.2023 11:09	39332.0	39390.0	39332.0	39358.0	84
27.01.2023 11:10	39364.0	39373.0	39364.0	39364.0	6
27.01.2023 11:12	39352.0	39359.0	39352.0	39358.0	53
27.01.2023 11:13	39358.0	39379.0	39358.0	39379.0	2
27.01.2023 11:14	39392.0	39403.0	39392.0	39403.0	12
27.01.2023 11:15	39403.0	39449.0	39403.0	39443.0	97
27.01.2023 11:16	39416.0	39428.0	39407.0	39428.0	12
27.01.2023 11:18	39439.0	39440.0	39439.0	39440.0	3
27.01.2023 11:21	39427.0	39427.0	39426.0	39427.0	22
27.01.2023 11:28	39404.0	39405.0	39404.0	39405.0	5
27.01.2023 11:30	39405.0	39405.0	39404.0	39404.0	2
27.01.2023 11:34	39405.0	39405.0	39404.0	39404.0	5
27.01.2023 11:36	39394.0	39394.0	39392.0	39392.0	4
27.01.2023 11:39	39396.0	39396.0	39389.0	39389.0	8
27.01.2023 11:40	39391.0	39391.0	39388.0	39388.0	13
27.01.2023 11:42	39390.0	39393.0	39390.0	39393.0	72
27.01.2023 11:44	39389.0	39389.0	39388.0	39388.0	8
27.01.2023 11:45	39387.0	39387.0	39381.0	39381.0	14
27.01.2023 11:47	39380.0	39405.0	39380.0	39399.0	55
27.01.2023 11:52	39390.0	39390.0	39383.0	39383.0	9
27.01.2023 11:55	39383.0	39389.0	39383.0	39389.0	40
27.01.2023 11:58	39412.0	39416.0	39412.0	39416.0	7
27.01.2023 11:59	39417.0	39427.0	39417.0	39427.0	5
27.01.2023 12:00	39426.0	39426.0	39421.0	39421.0	2
